iter	Logloss
0	0.6712596414
1	0.6534454224
2	0.6392677532
3	0.6278797864
4	0.6188023247
5	0.6113509428
6	0.6055959594
7	0.6007572381
8	0.5968969076
9	0.5937247319
10	0.5912441536
11	0.5890778558
12	0.5873499415
13	0.5859553225
14	0.5847971048
15	0.5839783011
16	0.5831245638
17	0.5824069045
18	0.5818025223
19	0.5812994541
20	0.5809210023
21	0.5805487006
22	0.580236541
23	0.5799631057
24	0.5796514363
25	0.5794356546
26	0.5792884096
27	0.5791089007
28	0.5789166016
29	0.5787896499
30	0.5785813504
31	0.5784755397
32	0.5783957327
33	0.5782841802
34	0.5781891006
35	0.5780389152
36	0.577965531
37	0.577854095
38	0.5778065637
39	0.577719496
40	0.5776622158
41	0.5776345568
42	0.5775800792
43	0.5775080555
44	0.5774600672
45	0.5773763718
46	0.5773149241
47	0.577274422
48	0.5772361464
49	0.5771589732
50	0.5771392894
51	0.5770947344
52	0.5770607058
53	0.5770111011
54	0.5769808234
55	0.5769397808
56	0.57691047
57	0.5768643527
58	0.5767988793
59	0.5767857921
60	0.576743676
61	0.5767214774
62	0.5766892236
63	0.5766383018
64	0.576591338
65	0.5765632082
66	0.5765386752
67	0.5764970624
68	0.5764573123
69	0.5764299295
70	0.5764155164
71	0.5763785222
72	0.5763465425
73	0.5763038771
74	0.5762710231
75	0.5762596542
76	0.576246284
77	0.5762450503
78	0.5762307399
79	0.5762046566
80	0.5761746966
81	0.576157927
82	0.5761392324
83	0.576128702
84	0.576098502
85	0.5760627167
86	0.5760413947
87	0.5760228015
88	0.5760117695
89	0.5760014502
90	0.5759821901
91	0.5759684103
92	0.5759573067
93	0.5759493172
94	0.5759385647
95	0.5759276359
96	0.575905508
97	0.5758896803
98	0.5758583029
99	0.5758463645
100	0.5758341323
101	0.5758121261
102	0.5757928824
103	0.575792392
104	0.5757789217
105	0.5757669911
106	0.5757616553
107	0.5757590856
108	0.5757499005
109	0.5757452338
110	0.5757353076
111	0.5757211104
112	0.5757114408
113	0.5756968011
114	0.5756665138
115	0.5756618913
116	0.5756546134
117	0.5756285248
118	0.5756155413
119	0.5756140654
120	0.5756063939
121	0.5755971604
122	0.5755776524
123	0.5755535327
124	0.5755459251
125	0.5755118697
126	0.5754906759
127	0.5754869533
128	0.5754713677
129	0.575445462
130	0.5754284238
131	0.5754125979
132	0.5753958491
133	0.5753878636
134	0.5753653635
135	0.5753508645
136	0.5753344997
137	0.575322603
138	0.5753107557
139	0.5752939383
140	0.5752848209
141	0.5752694032
142	0.5752525576
143	0.5752369054
144	0.5752277131
145	0.5752159712
146	0.5752040327
147	0.57519179
148	0.575178814
149	0.5751632002
150	0.5751546683
151	0.5751371151
152	0.5751298217
153	0.5751136708
154	0.5750986851
155	0.5750872373
156	0.5750687434
157	0.5750505075
158	0.5750435895
159	0.5750358053
160	0.5750230372
161	0.5750111696
162	0.5749929891
163	0.5749761265
164	0.5749635345
165	0.5749531962
166	0.5749431386
167	0.5749362217
168	0.5749203264
169	0.5749138878
170	0.5749000043
171	0.5748821035
172	0.574869653
173	0.5748552662
174	0.5748399035
175	0.5748342951
176	0.5748215807
177	0.5748019516
178	0.5747901591
179	0.5747793298
180	0.5747656522
181	0.574757453
182	0.5747492494
183	0.5747366025
184	0.5747276256
185	0.5747158673
186	0.5747075901
187	0.5746931523
188	0.5746806161
189	0.5746650677
190	0.5746595056
191	0.5746460499
192	0.5746334845
193	0.5746230652
194	0.5746148745
195	0.5746038964
196	0.5745904505
197	0.5745864578
198	0.5745832308
199	0.5745689694
200	0.5745603626
201	0.5745506083
202	0.5745389078
203	0.5745284099
204	0.5745166654
205	0.5745046628
206	0.574498125
207	0.5744836354
208	0.5744720004
209	0.574461177
210	0.5744448726
211	0.5744316217
212	0.574414059
213	0.5744053393
214	0.5743915026
215	0.574379942
216	0.5743672652
217	0.5743604392
218	0.5743478088
219	0.5743330121
220	0.5743253234
221	0.5743198095
222	0.5743094971
223	0.5743051082
224	0.574292125
225	0.5742798775
226	0.5742683131
227	0.5742550687
228	0.574239248
229	0.5742262736
230	0.5742164988
231	0.5742054858
232	0.5741959628
233	0.5741819923
234	0.5741748055
235	0.5741711958
236	0.5741532371
237	0.5741422064
238	0.5741356285
239	0.574126391
240	0.5741213367
241	0.5741089076
242	0.5740982129
243	0.574084962
244	0.5740704054
245	0.5740604306
246	0.5740511009
247	0.5740394737
248	0.5740260459
249	0.5740175769
250	0.5740081678
251	0.5739968844
252	0.5739873549
253	0.5739779889
254	0.5739696842
255	0.5739642772
256	0.5739624254
257	0.5739510317
258	0.5739398146
259	0.5739273447
260	0.5739141048
261	0.5739051479
262	0.5738989435
263	0.5738903766
264	0.5738828905
265	0.5738747262
266	0.5738669688
267	0.5738547317
268	0.5738448541
269	0.5738354973
270	0.573826487
271	0.5738160304
272	0.5738076577
273	0.5737944594
274	0.5737867169
275	0.5737772063
276	0.5737696918
277	0.5737578161
278	0.5737458183
279	0.5737372708
280	0.5737270974
281	0.5737211355
282	0.5737135888
283	0.5737003654
284	0.5736919189
285	0.5736824282
286	0.5736726884
287	0.5736631838
288	0.5736500439
289	0.5736421154
290	0.5736275229
291	0.5736171825
292	0.5736050175
293	0.5735943608
294	0.5735881697
295	0.5735763548
296	0.5735664948
297	0.5735518947
298	0.5735460094
299	0.573533161
300	0.5735197956
301	0.5735087709
302	0.5735031018
303	0.5734891738
304	0.5734718883
305	0.5734682853
306	0.5734576987
307	0.5734471707
308	0.5734333739
309	0.5734283907
310	0.5734251337
311	0.5734161993
312	0.5733971076
313	0.5733878116
314	0.5733740675
315	0.5733648626
316	0.5733502761
317	0.573341167
318	0.5733356836
319	0.5733193097
320	0.5733048125
321	0.5732965182
322	0.573288961
323	0.5732763154
324	0.5732648457
325	0.57326138
326	0.5732516978
327	0.5732424186
328	0.5732303859
329	0.5732193238
330	0.5732107515
331	0.5731992828
332	0.5731924971
333	0.5731791348
334	0.5731681547
335	0.5731566666
336	0.5731481328
337	0.5731368976
338	0.5731300459
339	0.5731256151
340	0.5731230175
341	0.5731145387
342	0.5731057562
343	0.5730981719
344	0.5730861193
345	0.5730777617
346	0.5730663475
347	0.5730564883
348	0.5730510991
349	0.5730394505
350	0.5730301552
351	0.5730171695
352	0.5730064251
353	0.572992731
354	0.5729838233
355	0.5729731925
356	0.5729643904
357	0.5729561676
358	0.5729472119
359	0.5729440607
360	0.5729360777
361	0.5729299344
362	0.5729189887
363	0.5729027729
364	0.5729014524
365	0.5728885867
366	0.5728809792
367	0.5728744528
368	0.5728637489
369	0.5728503506
370	0.5728413268
371	0.5728314371
372	0.5728243898
373	0.5728209086
374	0.5728093935
375	0.5727968751
376	0.5727892743
377	0.5727798847
378	0.5727713955
379	0.5727616307
380	0.5727538592
381	0.5727424735
382	0.5727319683
383	0.5727231484
384	0.5727155449
385	0.5727033179
386	0.5726963775
387	0.5726931741
388	0.5726855072
389	0.5726774793
390	0.5726621627
391	0.572653047
392	0.5726473454
393	0.5726424409
394	0.5726304125
395	0.5726184556
396	0.5726069859
397	0.572599169
398	0.5725892305
399	0.5725773212
400	0.5725681174
401	0.5725549642
402	0.5725479052
403	0.5725407543
404	0.5725301785
405	0.572523533
406	0.5725103818
407	0.5724972633
408	0.5724846531
409	0.5724724295
410	0.5724627707
411	0.5724489265
412	0.5724418989
413	0.5724318012
414	0.5724262562
415	0.572417437
416	0.5724074095
417	0.5723960744
418	0.572382122
419	0.5723749641
420	0.5723645389
421	0.57235735
422	0.5723437596
423	0.5723365594
424	0.5723296029
425	0.5723245638
426	0.5723172381
427	0.5723098625
428	0.5723041761
429	0.572293484
430	0.5722884619
431	0.5722792811
432	0.5722713093
433	0.5722605472
434	0.5722561915
435	0.5722522225
436	0.5722441278
437	0.5722409128
438	0.5722327486
439	0.5722236466
440	0.5722152466
441	0.5722093613
442	0.5721974358
443	0.5721915879
444	0.5721801723
445	0.5721739695
446	0.5721658006
447	0.5721576181
448	0.5721486966
449	0.5721389241
450	0.5721279985
451	0.5721204887
452	0.5721059674
453	0.5720975886
454	0.5720886497
455	0.5720824553
456	0.5720716941
457	0.5720575949
458	0.5720477661
459	0.5720360892
460	0.5720281199
461	0.5720192826
462	0.572007714
463	0.5719967361
464	0.5719885665
465	0.5719822955
466	0.5719764119
467	0.5719697146
468	0.5719644971
469	0.5719584519
470	0.5719528162
471	0.5719451157
472	0.5719387489
473	0.5719325204
474	0.5719253043
475	0.5719173246
476	0.5719104341
477	0.5719050231
478	0.5718999409
479	0.5718925104
480	0.5718813074
481	0.5718717848
482	0.5718606783
483	0.5718521457
484	0.5718443155
485	0.5718382392
486	0.5718301381
487	0.5718201455
488	0.5718117984
489	0.571804721
490	0.5717969207
491	0.5717929688
492	0.571781834
493	0.5717708437
494	0.5717644768
495	0.5717584386
496	0.5717496695
497	0.5717419257
498	0.5717361343
499	0.5717271856
500	0.5717211003
501	0.5717163729
502	0.5717038403
503	0.5716957459
504	0.5716826003
505	0.5716733924
506	0.5716656271
507	0.5716550743
508	0.5716450857
509	0.5716395423
510	0.5716329818
511	0.5716221676
512	0.5716159929
513	0.5716072592
514	0.5715955691
515	0.5715874183
516	0.5715799247
517	0.5715776286
518	0.5715704901
519	0.5715626781
520	0.571558669
521	0.5715467135
522	0.5715382523
523	0.5715285641
524	0.5715146059
525	0.5715073437
526	0.5715016689
527	0.5714941703
528	0.571485937
529	0.5714752861
530	0.5714654609
531	0.5714554782
532	0.5714444507
533	0.5714359058
534	0.571428755
535	0.5714259144
536	0.5714166358
537	0.5714057927
538	0.5713960533
539	0.5713914374
540	0.5713863139
541	0.5713729054
542	0.5713660403
543	0.5713623331
544	0.571356169
545	0.5713526332
546	0.5713483975
547	0.5713399293
548	0.5713298467
549	0.571324018
550	0.5713183399
551	0.5713139674
552	0.5713078815
553	0.5712966121
554	0.5712900635
555	0.5712774972
556	0.5712715938
557	0.5712626876
558	0.5712555998
559	0.5712432088
560	0.5712354355
561	0.5712282062
562	0.5712213289
563	0.5712135792
564	0.5712036695
565	0.571194052
566	0.571191094
567	0.5711859037
568	0.5711780727
569	0.5711768283
570	0.5711650551
571	0.5711544195
572	0.5711459881
573	0.571140554
