iter	Passed	Remaining
0	55	55385
1	63	31534
2	70	23511
3	76	18924
4	81	16158
5	86	14288
6	90	12850
7	94	11715
8	98	10886
9	102	10161
10	106	9547
11	109	9041
12	113	8616
13	117	8265
14	120	7936
15	123	7599
16	127	7378
17	131	7188
18	135	6984
19	139	6829
20	142	6665
21	147	6540
22	150	6397
23	154	6266
24	157	6144
25	161	6049
26	165	5963
27	169	5873
28	173	5801
29	176	5712
30	180	5646
31	184	5576
32	188	5516
33	191	5445
34	195	5382
35	198	5316
36	201	5252
37	205	5194
38	208	5138
39	212	5092
40	216	5053
41	219	5015
42	223	4969
43	227	4934
44	231	4903
45	235	4876
46	238	4837
47	242	4811
48	245	4772
49	249	4743
50	252	4706
51	256	4679
52	260	4662
53	264	4633
54	268	4615
55	272	4589
56	276	4571
57	279	4545
58	283	4527
59	287	4503
60	290	4475
61	294	4450
62	297	4425
63	301	4409
64	305	4390
65	309	4375
66	313	4361
67	316	4341
68	320	4327
69	324	4308
70	328	4293
71	331	4273
72	335	4256
73	339	4243
74	342	4226
75	346	4214
76	349	4193
77	352	4166
78	356	4156
79	360	4141
80	364	4136
81	368	4124
82	372	4114
83	376	4103
84	379	4088
85	384	4082
86	387	4068
87	391	4052
88	394	4042
89	398	4026
90	401	4014
91	405	4001
92	409	3992
93	412	3977
94	416	3968
95	420	3957
96	423	3946
97	427	3936
98	431	3928
99	434	3914
100	438	3902
101	442	3898
102	446	3889
103	448	3868
104	452	3853
105	455	3844
106	459	3836
107	463	3825
108	466	3815
109	471	3811
110	474	3798
111	477	3784
112	481	3780
113	486	3778
114	490	3775
115	493	3761
116	496	3748
117	500	3738
118	503	3731
119	507	3720
120	511	3716
121	515	3708
122	519	3704
123	523	3696
124	527	3689
125	531	3683
126	535	3680
127	538	3671
128	543	3667
129	547	3664
130	551	3660
131	555	3653
132	559	3644
133	562	3636
134	566	3630
135	570	3627
136	575	3623
137	578	3614
138	582	3606
139	585	3598
140	589	3592
141	593	3586
142	597	3578
143	601	3574
144	604	3567
145	608	3561
146	612	3556
147	616	3550
148	620	3544
149	624	3538
150	628	3533
151	632	3528
152	635	3520
153	639	3515
154	643	3509
155	647	3505
156	651	3500
157	655	3495
158	659	3487
159	663	3483
160	667	3477
161	671	3472
162	675	3467
163	679	3462
164	682	3454
165	686	3449
166	689	3441
167	693	3434
168	697	3429
169	701	3424
170	705	3418
171	708	3412
172	712	3407
173	716	3401
174	720	3397
175	724	3389
176	728	3386
177	732	3381
178	736	3378
179	740	3372
180	743	3365
181	747	3358
182	751	3353
183	754	3346
184	758	3340
185	761	3333
186	765	3329
187	769	3324
188	773	3320
189	777	3316
190	781	3311
191	785	3306
192	789	3301
193	793	3295
194	797	3292
195	801	3287
196	805	3285
197	809	3278
198	813	3273
199	817	3268
200	821	3264
201	825	3259
202	829	3256
203	833	3252
204	837	3246
205	841	3241
206	844	3236
207	848	3232
208	852	3227
209	856	3222
210	860	3218
211	864	3213
212	868	3209
213	872	3204
214	876	3201
215	880	3196
216	884	3191
217	887	3184
218	892	3181
219	895	3175
220	899	3171
221	902	3164
222	906	3159
223	910	3153
224	914	3149
225	918	3145
226	922	3142
227	926	3137
228	930	3132
229	933	3126
230	937	3122
231	941	3118
232	946	3114
233	950	3110
234	954	3106
235	957	3099
236	961	3095
237	965	3092
238	969	3087
239	973	3083
240	977	3079
241	981	3075
242	985	3069
